x,y,theta
7.59667,-11.863,-1.51867
7.59824,-11.893,-1.49908
7.60039,-11.9229,-1.51908
7.60194,-11.9528,-1.49948
7.60408,-11.9828,-1.51948
7.60562,-12.0127,-1.49988
7.60774,-12.0427,-1.51988
7.60927,-12.0726,-1.50027
7.61138,-12.1025,-1.52027
7.6129,-12.1325,-1.50066
7.615,-12.1624,-1.52066
7.6165,-12.1924,-1.50105
7.61859,-12.2223,-1.52105
7.62008,-12.2523,-1.50144
7.62216,-12.2822,-1.52144
7.62364,-12.3122,-1.50181
7.62571,-12.3421,-1.52181
7.62718,-12.3721,-1.50219
7.62924,-12.402,-1.52219
7.6307,-12.432,-1.50256
7.63274,-12.4619,-1.52256
7.63419,-12.4919,-1.50292
7.63622,-12.5218,-1.52292
7.63766,-12.5517,-1.50328
7.63968,-12.5817,-1.52328
7.64111,-12.6116,-1.50363
7.64312,-12.6416,-1.52363
7.64453,-12.6715,-1.50398
7.64654,-12.7015,-1.52398
7.64794,-12.7314,-1.50432
7.64993,-12.7614,-1.52432
7.65133,-12.7913,-1.50466
7.65331,-12.8213,-1.52466
7.65469,-12.8513,-1.50499
7.65667,-12.8812,-1.52499
7.65804,-12.9112,-1.50532
7.66,-12.9411,-1.52532
7.66137,-12.9711,-1.50563
7.66332,-13.001,-1.52563
7.66467,-13.031,-1.50595
7.66662,-13.0609,-1.52595
7.66796,-13.0909,-1.50625
7.6699,-13.1208,-1.52625
7.67123,-13.1508,-1.50655
7.67316,-13.1807,-1.52655
7.67449,-13.2107,-1.50685
7.6764,-13.2406,-1.52685
7.67772,-13.2706,-1.50714
7.67963,-13.3005,-1.52714
7.68094,-13.3305,-1.50742
7.68284,-13.3604,-1.52742
7.68414,-13.3904,-1.50769
7.68603,-13.4204,-1.52769
7.68733,-13.4503,-1.50796
7.68921,-13.4803,-1.52796
7.69049,-13.5102,-1.50823
7.69237,-13.5402,-1.52823
7.69365,-13.5702,-1.50849
7.69551,-13.6001,-1.52849
7.69678,-13.6301,-1.50874
7.69864,-13.66,-1.52874
7.69991,-13.69,-1.50899
7.70176,-13.7199,-1.52899
7.70301,-13.7499,-1.50923
7.70486,-13.7798,-1.52923
7.70611,-13.8098,-1.50946
7.70794,-13.8398,-1.52946
7.70918,-13.8697,-1.50969
7.71102,-13.8997,-1.52969
7.71225,-13.9297,-1.50992
7.71407,-13.9596,-1.52992
7.7153,-13.9896,-1.51014
7.71712,-14.0195,-1.53014
7.71834,-14.0495,-1.51035
7.72015,-14.0794,-1.53035
7.72136,-14.1094,-1.51056
7.72317,-14.1394,-1.53056
7.72438,-14.1693,-1.51076
7.72618,-14.1993,-1.53076
7.72738,-14.2293,-1.51096
7.72917,-14.2592,-1.53096
7.73037,-14.2892,-1.51115
7.73215,-14.3191,-1.53115
7.73334,-14.3491,-1.51134
7.73513,-14.3791,-1.53134
7.73631,-14.409,-1.51152
7.73809,-14.439,-1.53152
7.73927,-14.469,-1.5117
7.74104,-14.4989,-1.5317
7.74221,-14.5289,-1.51187
7.74398,-14.5588,-1.53187
7.74514,-14.5888,-1.51203
7.74691,-14.6188,-1.53203
7.74807,-14.6487,-1.5122
7.74983,-14.6787,-1.5322
7.75098,-14.7087,-1.51236
7.75274,-14.7386,-1.53236
7.75389,-14.7686,-1.51251
7.75564,-14.7985,-1.53251
7.75678,-14.8285,-1.51266
7.75853,-14.8585,-1.53266
7.75967,-14.8884,-1.5128
7.76141,-14.9184,-1.5328
7.76255,-14.9484,-1.51294
7.76428,-14.9783,-1.53294
7.76542,-15.0083,-1.51308
7.76715,-15.0382,-1.53308
7.76828,-15.0682,-1.51321
7.77001,-15.0982,-1.53321
7.77114,-15.1282,-1.51334
7.77286,-15.1581,-1.53334
7.77398,-15.1881,-1.51346
7.7757,-15.218,-1.53346
7.77682,-15.248,-1.51358
7.77854,-15.278,-1.53358
7.77965,-15.3079,-1.51369
7.78137,-15.3379,-1.53369
7.78248,-15.3679,-1.51381
7.78419,-15.3978,-1.53381
7.7853,-15.4278,-1.51391
7.787,-15.4578,-1.53391
7.78811,-15.4877,-1.51402
7.78981,-15.5177,-1.53402
7.79091,-15.5477,-1.51412
7.79261,-15.5776,-1.53412
7.79371,-15.6076,-1.51421
7.79541,-15.6376,-1.53421
7.79651,-15.6675,-1.51431
7.7982,-15.6975,-1.53431
7.7993,-15.7275,-1.5144
